new unique backpack ! combines vintage with modern ! URL1283 via @USER415	ADJ ADJ NOUN PUNCT VERB NOUN ADP PROPN PUNCT X ADP PROPN
@USER2274 Hhhahahh just take number 12 Then 😂😂	PROPN VERB ADV VERB NOUN NUM ADV SYM
RT @USER896 : Chris Brown started the trend of freestyle dancing to " young thug / future / rich homie quan " songs during his concerts . I see …	X X PUNCT PROPN PROPN VERB DET NOUN ADP PROPN NOUN PART PUNCT ADJ PROPN PUNCT NOUN PUNCT ADJ PROPN NOUN PUNCT VERB ADP PRON NOUN PUNCT PRON VERB PUNCT
RT @USER467 : Marcus Rashford dribbled past 3 players v #ISL . No player on the pitch managed more . He played for 5 f**king minutes . …	X X PUNCT PROPN PROPN NOUN ADJ NUM NOUN PROPN NOUN PUNCT DET NOUN ADP DET NOUN PROPN ADV PUNCT PRON VERB ADP NUM PROPN NOUN PUNCT PUNCT
Mf what ? URL619	VERB PRON PUNCT VERB
RT @USER10 : Indianapolis wicked wicked wicked vibes .. purple reign fanatics ☔️ love forever	X X PUNCT PROPN PROPN NOUN PROPN NOUN PUNCT PROPN PROPN PROPN NOUN NOUN ADV
@USER86 @USER979 such a basic but difficult mission .	PROPN VERB DET DET NOUN CCONJ ADJ NOUN PUNCT
Lol girls are funny	INTJ NOUN AUX ADJ
I am streaming on #BIGOLIVE . Join now ! URL764 URL284	PRON AUX VERB ADP PROPN PUNCT VERB ADV PUNCT X SYM
@USER1109 @USER538 @USER266 I have not . Should I ? URL1098	PROPN PROPN PROPN PRON VERB PART PUNCT AUX PRON PUNCT X
@USER2569 thank you :)	PROPN VERB PRON SYM
RT @USER472 : Me : I 'm really tryin to save money Friends : let 's all go out to eat Me : URL1299	X X PUNCT PRON PUNCT PRON AUX ADV ADJ PART VERB NOUN X PUNCT VERB AUX DET VERB ADV PART VERB PRON PUNCT X
RT @USER1584 : " I 'm always having to look over my shoulder . " Why we 're still talking about racism : URL599	X X PUNCT PUNCT PRON AUX ADV VERB PART VERB ADP PRON NOUN PUNCT PUNCT ADV PRON AUX ADV VERB ADP PROPN PUNCT X
can someone get me gars i have the money lol	AUX PRON VERB PRON VERB PRON VERB DET NOUN INTJ
RT @USER1753 : No lie GSU was lit on this night #GSU #StateNotSouthern URL368	X X PUNCT DET NOUN NOUN AUX VERB ADP DET NOUN PROPN NOUN X
RT @USER295 : Senegal 's Lake Retba owes its pink color to the presence of carotenoids produced by an algae . #Senegal #funfacts URL221 …	X X PUNCT PROPN PART ADJ PROPN VERB PRON ADJ NOUN ADP DET NOUN ADP PROPN VERB ADP DET NOUN PUNCT PROPN X X PUNCT
@USER166 remove the words " with men on base "	PROPN VERB DET NOUN PUNCT ADP NOUN ADP PROPN PUNCT
Revealed Radio 070 - The Chainsmokers and Hardwell URL1042 🔥🙌👏	PROPN PROPN PROPN PUNCT DET NOUN CCONJ NOUN NOUN X
Got these beauties today from @USER124 🌙💋 URL315	VERB DET ADJ NOUN ADP PROPN PROPN X
RT @USER1192 : drunk texts are cute because while their mind is n't functioning correctly , you 're still on it	X X PUNCT PROPN NOUN AUX ADJ SCONJ SCONJ PRON NOUN AUX PART ADJ NOUN PUNCT PRON AUX ADV ADP PRON
I 'm artistic you niggas are autistic retarted 🙄	PRON AUX VERB PRON NOUN AUX ADJ SYM SYM
RT @USER1761 : Bad habit : staying up all night thinking about someone whos probably thinking about som …	X X PUNCT ADJ NOUN PUNCT VERB ADP DET NOUN VERB ADP PRON NOUN ADV VERB ADP PROPN PUNCT
Great chance to nominate the best & brightest from our AMC community ! URL1351 #assnchat #assnprofs	ADJ NOUN PART VERB DET ADJ CCONJ ADJ ADP PRON ADJ NOUN PUNCT VERB NOUN X
Your Local Doppler Radar URL891 #roundrock	PRON PROPN PROPN PROPN NOUN X
RT @USER1625 : 68 . my girl getting all dolled up 😍 URL1113	X X PUNCT PROPN PUNCT PRON NOUN VERB DET NOUN ADP SYM X
Just posted a photo URL1284	ADV VERB DET NOUN X
📷 Purchase my special edition of Alternative Revolution Magazine at URL748 URL888	SYM VERB PRON ADJ NOUN ADP PROPN PROPN PROPN ADP PROPN X
RT @USER1005 : She is on another level 😍 URL586	X X PUNCT PRON AUX ADP DET NOUN SYM X
I 'm craving the parlor soooo bad	PRON AUX VERB DET NOUN NOUN ADJ
@USER2636 i m only 65 days from taking over	PROPN PRON AUX ADV ADJ NOUN ADP VERB ADP
imagine being able to budget that must be so nice	PRON AUX ADJ PART VERB SCONJ AUX AUX ADV ADJ
A3174 [ NEW ] Authorizes special striped bass license plate . URL879	PROPN PUNCT ADJ PUNCT PROPN ADJ PROPN PROPN PROPN NOUN PUNCT X
@USER2627 is so nice to me on Twitter but so mean on Instagram ??	PROPN AUX ADV ADJ ADP PRON ADP PROPN CCONJ ADV VERB ADP PROPN PUNCT
@USER1699 @USER843 POSSIBLEEEEEE , POSSILBEEEEEEEEEEEEEEEE . * chants " cousins " over and over again *	PROPN PROPN PROPN PUNCT PROPN PUNCT PUNCT PROPN PUNCT PROPN PUNCT ADV CCONJ ADV ADV PUNCT
He looks at me !! @USER1200 URL340	PRON VERB ADP PRON PUNCT X X
Yamaha ’s Rossi gets contract extension through 2018 : Valentino Rossi has extended his contract with Yamaha for ... URL849	PROPN PART VERB VERB NOUN NOUN ADP NUM PUNCT PROPN NOUN AUX VERB PRON NOUN ADP NOUN ADP PUNCT X
RT @USER326 : Gucci Mane is going on tour after being released from prison in September URL791	X X PUNCT PROPN NOUN AUX VERB ADP NOUN SCONJ AUX NOUN ADP NOUN ADP PROPN X
RT @USER702 : ' Jesus please mention my name when you talk to your Father today ... ' 🙏🏽	X X PUNCT PUNCT PROPN INTJ VERB PRON NOUN ADV PRON VERB ADP PRON NOUN NOUN PUNCT PUNCT SYM
@USER468 good , now they 'll make their own money and wo n't have to charge men for love . URL454	PROPN ADJ PUNCT ADV PRON AUX VERB PRON ADJ NOUN CCONJ AUX PART VERB PART VERB NOUN ADP NOUN PUNCT X
RT @USER451 : Naruto : Hey let 's go get some ramen !! Sasuke : shut up and get off my lawn , loser Itachi : now now Sasuke be nice URL221 …	X X PUNCT PROPN PUNCT INTJ VERB PART VERB VERB DET NOUN PUNCT X PUNCT VERB ADP CCONJ VERB ADP PRON NOUN PUNCT SYM X PUNCT ADV ADV PROPN AUX ADJ X PUNCT
BETFAIR - Bet £ 10 Get £ 30 + Double Winnings on Everton v Man Utd if both teams score URL242 #FACup URL1139	PROPN PUNCT PROPN SYM NUM VERB SYM NUM SYM PROPN NOUN ADP PROPN PROPN NOUN VERB SCONJ DET NOUN VERB NOUN NOUN X
RT @USER259 : Swervin thru my ends	X X PUNCT PROPN VERB PRON NOUN
Taylor Swift ‘s boyfriend Calvin Harris Injured In a Terrible Car Accident URL625 URL1436	PROPN PROPN PROPN NOUN PROPN PROPN NOUN ADP DET NOUN PROPN NOUN X X
what song -	PRON NOUN PUNCT
RT @USER139 : The first " haters will say it 's fake " video to make me laugh 😂 URL911	X X PUNCT DET ADJ PUNCT PROPN AUX VERB PRON AUX ADJ PUNCT NOUN PART VERB PRON VERB SYM X
RT @USER478 : CHAMPIONS !!!! URL1377	X X PUNCT PROPN PUNCT X
RT @USER2501 : ( credits to blackangel94a on tumblr ) URL1577	X X PUNCT PUNCT NOUN ADP VERB ADP PROPN PUNCT X
RT @USER2052 : qn : which artist do you want to collab with the most ? hansol : Any URL1628	X X PUNCT X PUNCT DET NOUN AUX PRON VERB PART VERB ADP DET ADJ PUNCT X PUNCT DET NOUN
@USER2460 Me too . Looking forward to the delivery tomorrow .	VERB PRON ADV PUNCT VERB ADV ADP DET NOUN NOUN PUNCT
It s a legit hustle URL408	PRON AUX DET NOUN NOUN X
RT @USER1425 : The UNCOMFORTABLE CONVERSATIONS series starts today !!! Make sure your there !!! @ LTB 5 , 6 - 8 PM . URL1048	X X PUNCT DET NOUN ADJ NOUN VERB NOUN PUNCT VERB ADJ PRON ADV PUNCT ADP PROPN NUM PUNCT NUM PUNCT NUM NOUN PUNCT X
'Cause I 'm as free as a bird now	PROPN PRON AUX SCONJ ADJ ADP DET NOUN ADV
Oh goddam nit I cried at work again	INTJ PROPN VERB PRON VERB ADP NOUN ADV
RT @USER2453 : @USER1838 good evening ! ( japan time ) ! Thank you very much ! Friendly Corina Dumitrescu 's ! Nature is Beautiful ! spen …	X X PUNCT PROPN ADJ NOUN PUNCT PUNCT PROPN NOUN PUNCT PUNCT VERB PRON ADV ADJ PUNCT ADJ NOUN NOUN PART PUNCT NOUN AUX ADJ PUNCT X PUNCT
Joebarly Feat. HitMaker Q – Widd It URL1474 Major #HipHop	PROPN VERB PROPN PROPN PUNCT PROPN PRON VERB ADJ NOUN
... Do n't look at me like that . You and I both know there 's nothing I can do .	PUNCT AUX PART VERB ADP PRON VERB PRON PUNCT PRON CCONJ PRON PRON VERB PRON AUX PRON PRON AUX VERB PUNCT
All I did was unpack my shoes / purses ... I feel like I unpacked a whole damn house 😨😖	SCONJ PRON AUX AUX VERB PRON NOUN PUNCT INTJ PUNCT PRON VERB SCONJ PRON VERB DET ADJ ADJ NOUN SYM
@USER1927 thank you for making sure that is exactly what is going to happen . #ARSAVL	PROPN VERB PRON ADP VERB ADJ PRON AUX ADV PRON AUX VERB PART VERB PUNCT X
Get Lost Moon for FREE on URL358 - your weekly game #giveaway #orlygift #steam #indi	VERB VERB NOUN ADP ADJ ADP NOUN PUNCT PRON ADJ NOUN NOUN NOUN NOUN X
RT @USER2284 : #Housing Shortages Stifle Sales Contracts URL1476 - more from @USER2379 #realestate #phs URL224 …	X X PUNCT PROPN PROPN ADJ NOUN PROPN NOUN PUNCT ADJ ADP PROPN NOUN X X PUNCT
lowkey obsessed with me before you	PROPN VERB ADP PRON SCONJ PRON
#DolceAmorePuSo TWEET BOOST ! NOW TRENDING ! DOLCE AMORE lsmlm	PROPN VERB PROPN PUNCT ADV PROPN PUNCT PROPN NOUN X
RT @USER1131 : Omg I 'm at this youtube party and these people write first impression judgments of you LOL @USER1327 URL1086 …	X X PUNCT INTJ PRON AUX ADP DET NOUN NOUN CCONJ DET NOUN VERB ADV ADJ VERB ADP PRON INTJ X X PUNCT
RT @USER2171 : To love someone is to see a miracle invisible to others . #ALDUBSeeYouSoon	X X PUNCT PART VERB PRON AUX PART VERB DET NOUN NOUN ADP NOUN PUNCT X
RT @USER1618 : This how you need to be thinking girls . URL500	X X PUNCT PRON ADV PRON VERB PART AUX VERB NOUN PUNCT X
RT @USER2272 : Most subscribed music artists on YouTube : # 1 Justin Bieber # 2 Rihanna # 3 One Direction # 4 Taylor Swift URL852 …	X X PUNCT ADJ ADJ NOUN NOUN ADP PROPN PUNCT NOUN NUM PROPN PROPN NOUN NUM PROPN NOUN NUM NUM NOUN NOUN NUM PROPN PROPN X PUNCT
RT @USER1778 : 10 Worst Feelings : Cheated on Over thinking Lied to Heart broken Not cared for Losing Scared Assuming Nervous Letting go	X X PUNCT NUM ADJ NOUN PUNCT VERB ADP SCONJ VERB VERB ADP NOUN VERB PART VERB SCONJ VERB ADJ VERB ADJ VERB VERB
RT @USER817 : The " Laugh at me one more time " starter pack URL357	X X PUNCT DET PUNCT VERB ADP PRON NUM ADJ NOUN PUNCT PROPN NOUN NOUN
Jessica watched @USER980 and his schemy little smirk before she rolled her hazel hues at his response . " I 'm glad I got your ~~	PROPN VERB VERB CCONJ PRON NOUN ADJ NOUN SCONJ PRON VERB PRON NOUN NOUN ADP PRON NOUN PUNCT PUNCT PRON AUX ADJ PRON VERB PRON NOUN
RT @USER1340 : I 'm the type of person to never get any sleep because all I do each night is overthink the smallest shit that shouldn ' …	X X PUNCT PRON AUX DET NOUN ADP NOUN PART ADV VERB DET NOUN SCONJ DET PRON VERB DET NOUN AUX VERB DET NOUN NOUN DET NOUN PUNCT PUNCT
RT @USER1413 : Ever eaten a banana with black spots ? This is what they 're doing to you : URL873	X X PUNCT ADV VERB DET NOUN ADP ADJ NOUN PUNCT PRON AUX PRON PRON AUX VERB ADP PRON PUNCT X
The Wrong Trousers #CowellsChildrensTitles	DET NOUN NOUN SYM
RT @USER2406 : Leigh Anne Pinnock URL1494	X X PUNCT PROPN PROPN NOUN X
RT @USER1988 : There is a difference between intuition & fear they both can serve as guides , but only the intuition feels comfortable	X X PUNCT PRON AUX DET NOUN ADV NOUN CCONJ NOUN PRON PRON AUX VERB ADP PROPN PUNCT CCONJ ADV DET NOUN ADJ ADJ
RT @USER383 : What ? You expect her to wear a suit at the beach ? URL1586	X X PUNCT PRON PUNCT PRON VERB PRON PART VERB DET NOUN ADP DET NOUN PUNCT X
RT @USER1634 : We want a #newsarunshow with @USER138 #BarunSobti & #SanayaIrani ( #Sarun ) on @USER1250 @USER1950 URL224 …	X X PUNCT PRON VERB DET NOUN ADP PROPN NOUN CCONJ NOUN PUNCT PROPN PUNCT ADP PROPN X X PUNCT
RT @USER2376 : every morning is a continuous cycle of wow i ca n't wait to go to bed tonight	X X PUNCT DET NOUN AUX DET NOUN NOUN ADP INTJ PRON AUX PART VERB PART VERB ADP NOUN NOUN
1,000,000 Real YouTube Views , $ 2000 !! URL524	PROPN ADJ PROPN PROPN PUNCT SYM PROPN PUNCT X
RT @USER1755 : Beer Director Greg Engert getting ready to taste some springtime brews on @USER1704 !	X X PUNCT PROPN PROPN PROPN NOUN AUX ADJ PART VERB DET NOUN NOUN ADP PROPN PUNCT
RT @USER916 : Found some cool fans at the @USER760 display who have NO idea I 'm about to surprise them w/ pre-race passes ! 🎉 - JW URL0 …	X X PUNCT VERB DET ADJ NOUN ADP DET NOUN NOUN PRON VERB ADJ NOUN PRON AUX ADP PART VERB PRON ADP PROPN PROPN PUNCT SYM PUNCT PROPN X PUNCT
RT @USER1960 : Uncountable ! #ServicesByMSG . Are going Onn Across The Globe under HIS HOLINESS @USER530 ' :-) URL1360	X X PUNCT PROPN PUNCT PROPN PUNCT AUX VERB VERB VERB DET NOUN VERB PRON ADJ X PUNCT SYM X
RT @USER291 : I love this cat . URL1120	X X PUNCT PRON VERB DET NOUN PUNCT X
#VeranoMTV2016 5 Seconds of Summer 16	X NUM NOUN ADP NOUN NUM
RT @USER2282 : HARRY IS STRONG BUT CA N'T EVEN OPEN A BAG OF GOLDFISH URL389	X X PUNCT PROPN AUX ADJ NUM PROPN PROPN PROPN VERB DET NOUN ADP NOUN X
North Ends getting a theatre 🤘🏻😍 URL819	PROPN PRON VERB DET NOUN NOUN X
RT @USER2394 : 26 . dick and dom in da bungalow they were just discount ant and dec but i loved it anyway URL1270	X X PUNCT NUM PUNCT NOUN CCONJ NOUN ADP DET NOUN PRON AUX ADV VERB NOUN CCONJ NOUN CCONJ PRON VERB PRON ADV SYM
k but @USER2313 is legit cute af so I 'm confused 😩	NUM CCONJ PROPN AUX ADJ ADJ NOUN ADV PRON AUX ADJ SYM
#pray Jehovah Sabaoth restore Jamaican lady 's privacy Completely & vindicate her sanity & reports of thugs ' 24 hr stalking & eavesdroppin IJN	PROPN PROPN PROPN PROPN PROPN NOUN PART ADJ NOUN CCONJ VERB PRON NOUN CCONJ VERB ADP PROPN PUNCT NUM PROPN NOUN CCONJ NOUN NOUN
Like 8 hours ago URL1579	ADP NUM NOUN ADV SYM
Why are you turning on me ???	ADV AUX PRON VERB ADP PRON PUNCT
RT @USER1402 : This is a real fight URL609	X X PUNCT PRON AUX DET ADJ NOUN SYM
RT @USER2510 : Chelsea owner Roman Abramovich having second thoughts about Jose ... URL723 #Pep_Guardiola #Jose_Mourinho	X X PUNCT PROPN NOUN NOUN NOUN VERB ADJ NOUN ADP PROPN PUNCT PROPN NOUN X
Wife Catches Her Husband With Mistress And Beats The Hell Out Of Her ( Photos ) URL627	PROPN VERB PRON NOUN ADP NOUN CCONJ VERB DET NOUN ADV ADP PRON PUNCT PROPN PUNCT X
Time to Make your #MomentsThatCount at #NissanPavilion by having a glimpse of ICC T20 trophy watch here >>> URL1604	NOUN PART VERB PRON NOUN ADP PROPN SCONJ VERB DET NOUN ADP PROPN PROPN PROPN VERB ADV VERB X
WWW #MTVHottest Little Mix	PROPN PROPN PROPN NOUN
Our brand new Moon Babe with hair buns in the beauteous home of @USER1630 | Available … URL1186	PRON NOUN ADJ NOUN VERB ADP NOUN NOUN ADP DET NOUN NOUN ADP PROPN SYM NUM PUNCT X
👉 URL501 👈 Real women to sex with ✅ Fully free now 🔞 #anikka #angelina #analporn #animation	PROPN PROPN PROPN ADJ NOUN PART NOUN ADP PROPN PROPN ADJ ADV PROPN PROPN PROPN NOUN X
I got a traveler insta it 's fr just pictures I 've shot while traveling n exploring do n't have to follow me but just take a peek ig : stevoohhh	PRON VERB DET NOUN VERB PRON AUX ADJ ADV NOUN PRON AUX VERB SCONJ NOUN CCONJ NOUN AUX PART VERB PART VERB PRON CCONJ ADV VERB DET NOUN NOUN PUNCT X
Tory Lanez - Say It URL479 #hiphop #music #Verified #rt	PROPN PROPN PUNCT VERB PRON VERB PROPN X X NOUN
RT @USER597 : Résumé : Makes $ 35 k a year but will break your kindergartner 's ankles URL573	X X PUNCT PROPN PUNCT PROPN SYM PROPN NUM DET NOUN CCONJ AUX VERB PRON NOUN PART ADJ SYM
themselves as russian URL782	PRON ADP PROPN X
@USER402 makeup revolution basically dupes high end makeup it 's where I get all my stuff lmao	PROPN NOUN NOUN NUM PROPN ADJ NOUN NOUN PRON AUX ADV PRON VERB DET PRON NOUN INTJ
RT @USER2206 : when the people you thought are quiet pero dili diay orayt URL760	X X PUNCT ADV DET NOUN PRON VERB AUX ADJ PROPN PROPN NOUN X X
RT @USER1589 : Me Myself and I by G Eazy | Cover by Alex Aiono : URL361 via @USER1490	X X PUNCT PRON VERB CCONJ PRON ADP X PROPN SYM NOUN ADP PROPN X PUNCT PROPN ADP PROPN
@USER500 haha that 's so cool !! I plan on getting a cap shield eventually when I have money to blow . Tweet a pic of the suit !!	PROPN INTJ PRON AUX ADV ADJ PUNCT PRON VERB SCONJ VERB DET NOUN PROPN VERB ADV PRON VERB NOUN PART VERB PUNCT VERB DET NOUN ADP DET NOUN PUNCT
BJ the Chicago Kid Talks Kendrick Lamar & Repping the ' New R&B ' on Motown Debut Album : Moving to Los Angeles a ... URL772	VERB DET PROPN PROPN PROPN PROPN NOUN CCONJ VERB DET PUNCT ADJ PROPN PUNCT ADP PROPN PROPN NOUN PUNCT VERB PART VERB PROPN DET PUNCT X
@USER2150 @USER2103 I need to check this out ! Thanks #saskedchat	PROPN PROPN PRON VERB PART VERB PRON ADP PUNCT NOUN X
RT @USER2231 : We are live now !!!! URL1389 URL1033	X X PUNCT PRON AUX ADJ ADV PUNCT X NOUN
RT @USER2409 : #KanhaiyaKumar bail plea #adjourned to Feb. 29 URL814 URL443	X X PUNCT PROPN PROPN NOUN NOUN ADP PROPN NUM NOUN X
RT @USER1443 : " Can i have a bite " Me : URL1243	X X PUNCT PUNCT AUX PRON VERB DET NOUN PUNCT PRON PUNCT X
RT @USER128 : Look at that face . The joys of being a parent URL730	X X PUNCT VERB ADP DET NOUN PUNCT DET NOUN SCONJ AUX DET NOUN X
RT @USER2590 : in the mood for a long drive with no destination	X X PUNCT ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN
RT @USER161 : throwback to this amazing performance URL1108	X X PUNCT VERB ADP DET ADJ NOUN NOUN
RT @USER1713 : I find this hilarious in its appalling-ness for a number of reasons . URL1358	X X PUNCT PRON VERB PRON ADJ ADP PRON NOUN ADP DET NOUN ADP NOUN PUNCT X
RT @USER1527 : Very hot ! URL423	X X PUNCT ADV ADJ PUNCT X
RT @USER959 : #NewportNews #Virginia boy leaves Gatorade , water for #LetterCarrier URL938 via @USER6 URL224 …	X X PUNCT PROPN ADJ NOUN VERB NOUN PUNCT VERB ADP PROPN NOUN ADP PROPN X PUNCT
The old niggas on Dr Dre album Lowkey be taking hella shots at the new niggas lol	DET ADJ NOUN ADP PROPN PROPN NOUN NOUN AUX VERB ADV NOUN ADP DET ADJ NOUN INTJ
RT @USER1874 : hi a lil reminder that u guys will meet dan & phil :~) URL1169	X X PUNCT INTJ DET ADJ NOUN SCONJ PRON NOUN AUX VERB PROPN CCONJ PROPN NOUN X
Egyptian writer Ahmed Naji ’s crime is n't what he wrote – it is that he is alive URL607	PROPN PROPN PROPN NOUN PART NOUN AUX PART PRON PRON VERB PUNCT PRON AUX PRON PRON AUX ADJ NOUN
RT @USER919 : Great setting for @USER1033 Falmouth GP of the Sea 2017 URL461	X X PUNCT ADJ VERB ADP PROPN PROPN PROPN ADP DET NOUN NUM NOUN
RT @USER1916 : hate getting flashbacks from things you do n't want to remember . it feels like your heart suddenly drops and anxiety starts …	X X PUNCT VERB VERB ADJ ADP NOUN PRON AUX PART VERB PART VERB PUNCT PRON VERB SCONJ PRON NOUN NOUN NOUN CCONJ NOUN VERB PUNCT
RT @USER1256 : " We need some payday lending reforms . " - Alabama Banking Department Superintendent John Harrison URL1181 …	X X PUNCT PUNCT PRON VERB DET NOUN PROPN NOUN PUNCT PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN X X PUNCT
RT @USER2347 : For the highest ticket prices in world football , we 're ' entitled ' to expect more than zero PL / CL titles in 12 yrs . URL219 …	X X PUNCT ADP DET NOUN NOUN NOUN ADP NOUN NOUN PUNCT PRON AUX PUNCT PROPN PUNCT PART VERB ADJ ADP NUM NOUN PUNCT PROPN NOUN ADP NUM PROPN PUNCT X PUNCT
Now playing on OSN Radio ( @USER2325 ) Another Day ( Perfecto Mix ) by Skip Raiders #OSN #NowPlaying ( URL1112 )	ADV VERB ADP PROPN PROPN PUNCT PROPN PUNCT DET NOUN PUNCT PROPN NOUN PUNCT ADP PROPN PROPN X X PUNCT PROPN PUNCT
@USER2322 what	VERB PRON
Of course , as everyone knows Powers resigned from the campaign and retracted these comments . But now she 's US Ambassador to the UN .	ADV ADV PUNCT SCONJ PRON VERB PROPN NOUN ADP DET NOUN CCONJ VERB DET NOUN PUNCT CCONJ ADV PRON AUX PROPN NOUN ADP DET NOUN PUNCT
ugh I 'm so picky when it comes to dress shopping :(	INTJ PRON AUX ADV ADJ ADV PRON VERB PART VERB PROPN SYM
the video had an effect on me	DET NOUN VERB DET NOUN ADP PRON
Oh , and regex by @USER1783 . Do check out the slides . #NICAR16	INTJ PUNCT CCONJ VERB ADP PROPN PUNCT AUX VERB ADP DET NOUN PUNCT X
can hou shut up beacause yiur beeath stinka URL1440	AUX VERB VERB ADP PROPN PROPN PROPN X X
I just do n't understand how someone can change their mind so fast . You 're so disgusting	PRON ADV AUX PART VERB ADV PRON AUX VERB PRON NOUN ADV ADJ PUNCT PRON AUX ADV ADJ
Genocide in #Yemen yet world silence . Very strange : for US & #Europe , Yemen does n't exist ! Can You explain ? #ForgottenWarInYemen	NOUN ADP PROPN PROPN NOUN VERB PUNCT ADV NOUN PUNCT ADP PROPN CCONJ PROPN PUNCT PROPN AUX PART VERB PUNCT AUX PRON VERB PUNCT SYM
Jason Jordan just threw a dude	PROPN PROPN ADV VERB DET NOUN
If you cheat on someone that is willing to do anything for you , you actually cheated yourself out of true loyalty .	SCONJ PRON VERB ADP PRON PRON AUX ADJ PART VERB PRON ADP PRON PUNCT PRON ADV VERB PRON ADP ADP ADJ NOUN PUNCT
RT @USER1289 : FRIENDLY REMINDER THAT STILES STILINSKI AND ALLISON ARGENT DESERVED MORE SCENES TOGETHER URL905	X X PUNCT ADJ NOUN DET NOUN NOUN CCONJ PROPN NOUN PROPN ADJ NOUN X X
.... and guess who are paying the shortfall ! URL875	PUNCT CCONJ VERB PRON AUX VERB DET NOUN PUNCT X
RT @USER849 : TWITTER TEAM DOING PABEBE WAVE with @USER2199 STANDEE #VoteMaineFPP #KCA URL651	X X PUNCT PROPN NOUN PROPN NOUN NOUN ADP PROPN PROPN X X X
She wrote on a note attached " I do nt put my credit card info on the internet " 😭😂😭😂 I love her old ass man .	PRON VERB ADP DET NOUN NOUN PUNCT PRON AUX PART VERB PRON NOUN NOUN NOUN ADP DET NOUN PUNCT VERB PRON VERB PRON ADJ NOUN NOUN PUNCT
RT @USER804 : not moving no nigga in my house , if ima do bad , ima do bad by my damn self !!! 👏🏾	X X PUNCT PART VERB DET NOUN ADP PRON NOUN PUNCT SCONJ VERB VERB ADJ PUNCT VERB AUX ADJ ADP PRON ADJ NOUN PUNCT X
RT @USER1550 : “ Current mood and most of the days mood . “ URL695	X X PUNCT PUNCT PROPN NOUN CCONJ ADJ ADP DET NOUN NOUN PUNCT PUNCT SYM
RT @USER548 : As far as I 'm aware , the doors are open . And we 're On The Road Again .	X X PUNCT SCONJ ADJ SCONJ PRON AUX VERB PUNCT DET NOUN AUX ADJ PUNCT CCONJ PRON AUX ADP DET NOUN NOUN PUNCT
@USER1359 what about a drink of liquid nitrogen ?	VERB PRON ADP DET NOUN ADP PROPN PROPN PUNCT
RT @USER573 : Angela Eagle : I went to Uni thanks to a Labour Govt Govt when Angela Eagle went to Uni : Thatcher ( Graduated in 1983 , St …	X X PUNCT PROPN NOUN PUNCT PRON VERB ADP ADJ NOUN ADP DET NOUN PROPN VERB ADV ADJ NOUN VERB ADP PROPN PUNCT PROPN PUNCT PROPN ADP PROPN PUNCT PROPN PUNCT
Sames URL1428	PROPN PROPN
RT @USER399 : .. rabbits in there . Told me they were mine to love and care for . Even hired this guy to help me feed em and clean the pen . Be …	X X PUNCT PUNCT VERB ADP PRON PUNCT VERB PRON PRON AUX PRON PART VERB CCONJ VERB ADP PUNCT ADV VERB DET NOUN PART VERB PRON VERB PRON CCONJ VERB DET NOUN PUNCT AUX PUNCT
@USER2275 Careful with that porcelain skin . sweetie !	PROPN VERB ADP DET ADJ NOUN PUNCT PROPN PUNCT
RT @USER474 : Character progression through all 10 seasons of Friends ... URL378	X X PUNCT PROPN NOUN ADP DET NUM NOUN ADP PROPN PUNCT X
RT @USER905 : rt if you grew up on these streets URL1061	X X PUNCT VERB SCONJ PRON VERB ADP ADP DET NOUN X
RT @USER213 : Funding legal services focus of AG ’s pre-election debate URL513 via @USER2151	X X PUNCT PROPN PROPN NOUN NOUN ADP NOUN PART VERB NOUN NOUN ADP PROPN
RT @USER1172 : I agree with and support President Putin ! He 's right . URL1329	X X PUNCT PRON VERB ADP CCONJ NOUN NOUN NOUN PUNCT PRON AUX ADJ PUNCT SYM
RT @USER689 : This is perhaps the most succinct and accurate sentence regarding Trumps ' popularity I have ever read . URL1157 …	X X PUNCT PRON AUX VERB DET ADJ NOUN CCONJ VERB PROPN PROPN PROPN PUNCT PROPN PRON VERB ADV VERB PUNCT PROPN PUNCT
See you again #TSOUAwkward	VERB PRON ADV SYM
RT @USER480 : I got a new one for you guys URL719	X X PUNCT PRON VERB DET ADJ NOUN ADP PRON NOUN SYM
#VOZEMPIRE : Ready to Divorce ? David Beckham Resigned From Victoria ’s Fashion Company URL360	PROPN PUNCT NOUN ADP PROPN PUNCT PROPN PROPN NOUN ADP PROPN PART NOUN NOUN X
If you can meditate , then you can achieve your smallest desires in life as meditation helps you shed light on every little information !	SCONJ PRON AUX VERB PUNCT SCONJ PRON AUX VERB PRON NOUN NOUN ADP NOUN SCONJ NOUN VERB PRON VERB NOUN ADP DET ADJ NOUN PUNCT
RT @USER286 : Early Bird tickets are now Sold Out !! Get your #CountryFlo passes while supplies last : URL453 URL220 …	X X PUNCT PROPN PROPN NOUN AUX ADV VERB SCONJ PUNCT VERB PRON NOUN NOUN ADP NOUN ADJ PUNCT X X PUNCT
He said the shit stank	PRON VERB DET NOUN NOUN
RT @USER877 : and yes there are biblical references to the ' insignificance ' of women . BUT there 's just as many to our significance a …	X X PUNCT CCONJ INTJ PRON AUX ADJ NOUN ADP DET PUNCT PROPN PUNCT ADP NOUN PUNCT CCONJ PRON AUX ADV ADP ADJ ADP PRON VERB DET PUNCT
